voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Josh Robbins,The Athletic,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
Melissa Rohlin,Fox Sports,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
Taylor Rooks,Bleacher Report,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
Jalen Rose,ESPN,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Butler, Jimmy (MIA)",2023,CPOY
Ryen Russillo,The Ringer,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","DeRozan, DeMar (CHI)",2023,CPOY
Omari Sankofa,Detroit Free Press,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
John Schuhmann,NBA.com,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Dennis Scott,WarnerMedia,"Gilgeous-Alexander, Shai (OKC)","Tatum, Jayson (BOS)","Fox, DeAaron (SAC)",2023,CPOY
Ramona Shelburne,ESPN,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","DeRozan, DeMar (CHI)",2023,CPOY
Bill Simmons,The Ringer,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Butler, Jimmy (MIA)",2023,CPOY
Mike Singer,Denver Post,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)",2023,CPOY
Anthony Slater,The Athletic,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Mitchell, Donovan (CLE)",2023,CPOY
Doug Smith,The Toronto Star,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)",2023,CPOY
Stephen A. Smith,ESPN,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Brunson, Jalen (NYK)",2023,CPOY
Steve Smith,WarnerMedia,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Seerat Sohi,The Ringer,"Fox, DeAaron (SAC)","Gilgeous-Alexander, Shai (OKC)","Butler, Jimmy (MIA)",2023,CPOY
Justin Termine,Sirius Radio,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Brunson, Jalen (NYK)",2023,CPOY
Stan Van Gundy,WarnerMedia,"Butler, Jimmy (MIA)","Doncic, Luka (DAL)","Brunson, Jalen (NYK)",2023,CPOY
Joe Vardon,The Athletic,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Butler, Jimmy (MIA)",2023,CPOY
David Villafranca,EFE News,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Gary Washburn,Boston Globe,"Mitchell, Donovan (CLE)","Brunson, Jalen (NYK)","Embiid, Joel (PHI)",2023,CPOY
Michael Wilbon,ESPN,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Gilgeous-Alexander, Shai (OKC)",2023,CPOY
Brian Windhorst,ESPN,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)",2023,CPOY
Matt Winer,WarnerMedia,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Irving, Kyrie (DAL)",2023,CPOY
Michael C. Wright,NBA.com,"Fox, DeAaron (SAC)","DeRozan, DeMar (CHI)","Butler, Jimmy (MIA)",2023,CPOY
Ohm Youngmisuk,ESPN,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","Butler, Jimmy (MIA)",2023,CPOY
Jeff Zillgitt,USA Today,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Brunson, Jalen (NYK)",2023,CPOY
